"barcode";"name";"volume"
"41001332";"CERVEZA BECKS";"330"
"42061915";"CERVEZA BECKS SIN ALCOHOL";"330"
"87167054";"CERVEZA GROLSCH";"330"
"4015042100584";"Darguner Pilsener";"330"
"4025127020188";"ENERGIZANTE EFFECT";"250"
"5701598030763";"CERVEZA HARBOE PILSENER";"330"
"5701598031579";"CERVEZA BEAR";"330"
"7611626000300";"ENERGIZANTE XTC";"250"
"7801610000595";"COCA COLA LIGHT";"591"
"7801610000601";"COCA COLA ZERO";"591"
"7801610001523";"COCA COLA";"2500"
"7801610002650";"FANTA";"3000"
"7801610005521";"SPRITE";"2500"
"7801610005651";"SPRITE";"3000"
"7801610591888";"SPRITE ZERO";"591"
"7801610591994";"SPRITE";"591"
"7801610610008";"COCA COLA";"250"
"7801610610107";"FANTA";"250"
"7801610610206";"SPRITE MINI";"250"
"7801610610404";"COCA COLA LIGHT";"250"
"7801620006136";"Woman mas Cachantun con Aloe Vera Sabor Berries";"500"
"7801620852962";"Cachantun Sin Gas";"1600"
"7801926002986";"SANGRIA TRUJILLO CON GAS";"500"
"7802180002651";"ENERGIZANTE DARK DOG ORANGE";"250"
"7802820020953";"VITAL CON GAS";"1600"
"7804646000003";"ENERGIZANTE MR. BIG";"1500"
"7804646000027";"ENERGIZANTE MR. BIG ZERO";"1500"
"7804646000102";"ENERGIZANTE MR. BIG";"330"
"9005465101058";"ENERGIZANTE DARK DOG GUARANA";"250"
"9120016590300";"ENERGIZANTE SHOT & GO";"1500"
"9120016590478";"ENERGIZANTE SHOT & GO BERRY";"1500"
"632432333205";"Yerba Mate Guayaki";"355"
"856820160024";"Steaz Zero Calotie Ice Green Tee Peach Mango";"473"
"5701598031586";"CERVEZA BEAR";"500"
"7792798007462";"CERVEZA QUILMES LIEBER SIN ALCOHOL";"354"
"7792798011018";"CERVEZA QUILMES";"355"
"7801610001196";"COCA COLA";"350"
"7801610002261";"FANTA";"1500"
"7801610005194";"SPRITE";"350"
"7801610019269";"NORDIC GINGER ALE MIST";"1500"
"7801610020265";"NORDIC TONICA MIST";"1500"
"7801610203507";"NORDIC GINGER ALE MIST";"350"
"7801610223505";"NORDIC MIST AGUA TONICA";"350"
"7801610350409";"COCA COLA ZERO";"1500"
"7801620852580";"KEM PIÑA";"350"
"7801926002993";"SANGRIA TRUJILLO CON GAS";"1500"
"7802100002709";"Cristal Cero Radler";"350"
"7802100020130";"Escudo";"350"
"7802100002747";"Royal Guard Premium Lager Beer";"470"
"7802130000102";"CERVEZA BALTICA";"354"
"7802130000263";"Stella Artois Premium Lager Beer";"354"
"7802130001109";"CERVEZA BECKER";"354"
"7802810052032";"NECTAR WATTS NARANAJA";"1000"
"1505";"OCEAN SPR CRANBERRY PET1.89X8";"1890"
"524168";"OCEAN SPRAY LIGHT 8PF-PET 1.89";"1890"
"7802820600100";"VITAL CON GAS";"600"
"7802820651003";"PAWERADE";"600"
"7802820669961";"PAWERADE ZERO FROZEN LIMON";"600"
"7802820670974";"PAWERADE ZERO FROZEN BLAST";"600"
"7802820670998";"PAWERADE ZERO FROZEN UVA";"600"
"7802820700084";"NECTAR WATTS NARANJA";"1000"
"7802820700275";"NECTAR WATTS PIÑA";"1000"
"7802820700466";"NECTAR WATTS MANZANA";"1000"
"7804604723197";"NECTAR CYRO TUTIFRUTI PLATANO";"1500"
"7804604727584";"NECTAR CYRO NARANJA";"1500"
"7804604727614";"NECTAR CYRO PIÑA";"1500"
"7804646000010";"ENERGIZANTE MR. BIG";"600"
"7804646000041";"ENERGIZANTE MR. BIG ZERO";"600"
"7804646000058";"ENERGIZANTE MR. BIG";"2000"
"7807910019015";"Jumbo Doble Zero Cola";"1500"
"8690582722401";"CERVEZA CARLSBERG";"500"
"8903354001247";"ENERGIZANTE MACHINE";"300"
"9005465104097";"ENERGIZANTE DARK DOG ORIGINAL";"355"
"9120016590331";"ENERGIZANTE SHOT & GO";"500"
"90415302";"RED BULL RED EDIT LATA 250X24";"250"
"90415326";"RED BULL LIME EDIT LATA 250X24";"250"
"31200342270";"OCEAN SPRAY LIGHT 8PF-PET 1.89";"1890"
"31200343277";"OCEAN_SPR L GRAPE 8PF-PET1.89";"1890"
"7801608002372";"Pelayo Bebida Piña Sin Calorías";"2000"
"7801610000571";"Coca-Cola Original";"591"
"7801610001622";"Coca-Cola Original";"1500"
"7801610022528";"Coca-Cola Light";"2500"
"7801610022726";"Coca-Cola Light";"1500"
"7801610200933";"Coca-Cola Zero";"1750"
"7801610223727";"Sprite Zero";"1500"
"7801610305560";"Coca-Cola Zero";"3000"
"7801610323236";"Coca-Cola Original";"3000"
"7801610350157";"Coca-Cola Zero";"250"
"7801610350850";"Coca-Cola Zero";"2500"
"7801610352151";"Coca-Cola Light";"3000"
"7801610591116";"Fanta";"591"
"7801620000738";"WATT'S DURAZNO LGH 6PF-PET 1.5";"1500"
"7801620000899";"LIMON SODA 6PFX4-PET 250";"250"
"7801620000912";"LIMON SODA 6PFX4-PET 250";"250"
"7801620001193";"BILZ 6PF-PET 3000";"3000"
"7801620001216";"PAP PET 3000 X 06";"3000"
"7801620001223";"KEM 6PF-PET 3000";"3000"
"7801620001322";"7UP 6PF-PET 3000";"3000"
"7801620001599";"CRUSH 6PF-PET 3000";"3000"
"7801620001643";"LIMON SODA PET 3000 X 06";"3000"
"7801620001704";"KEM XTREME 6PFX4-LATA 350";"350"
"7801620001711";"KEM XTREME 12PF-PET 500";"500"
"7801620001735";"KEM XTREME 6PFX4-LATA 350";"350"
"7801620001841";"WATT'S TUTIFRUTILLA 6PF-PET1.5";"1500"
"7801620001896";"GINGER ALE 6PF-PET 3000";"3000"
"7801620001902";"WATT'S MANZANA 6PF-PET 1500";"1500"
"7801620001988";"KEM XTREME 6PF-PET 1500";"1500"
"7801620002022";"PEPSI-BILZ-KEM 3PF-PET3000-TR";"3000"
"7801620002039";"PEPSI-BILZ-PAP 3PF-PET3000-TR";"3000"
"7801620002237";"GIN-CRU-LSO 3PF-PET3000-TR";"3000"
"7801620002343";"Whatt´s Nectar de Fruta Tuttikiwi";"1500"
"7801620002367";"MAS CACHANTUN 12PF-PET 500";"500"
"7801620002374";"MAS CACHANTUN 6PF-PET 1500";"1500"
"7801620002503";"CACHANTUN C/GAS 3PFX2-PET 1600";"1600"
"7801620002657";"GATORADE NARANJA 6PF-PET 500";"500"
"7801620002664";"GATORADE MANZANA 6PF-PET 500";"500"
"7801620002671";"Gatorade Lima Limon";"500"
"7801620002725";"GATORADE MANZANA 6PF-PET 500";"500"
"7801620002756";"GATORADE LIMA LIMON 6PF-PET500";"500"
"7801620002787";"LIMON SODA LIGHT PET 1500 X 06";"1500"
"7801620002794";"LIMON SODA ZERO PET 3000 X 06";"3000"
"7801620002848";"PEPSI-KEM-CRUSH-LSODA 4PF-PET1500-TR";"1500"
"7801620002916";"WATT'S TUTIFRUT LGH 6PF-PET1.5";"1500"
